Spot listening hours vs. Sent emails per month  (2013-10 onward)
Scale: hours 0..331   emails 0..1120

month      hrs listen                               mails emails                              
----------------------------------------------------------------------------------------------
2013-10    4.7 █                                       55 ▒▒                                  
2015-04    0.1                                        412 ▒▒▒▒▒▒▒▒▒▒▒▒▒                       
2015-07    5.2 █                                       92 ▒▒▒                                 
2015-08    8.2 █                                       36 ▒                                   
2015-09    9.1 █                                       19 ▒                                   
2015-10    4.8 █                                       38 ▒                                   
2015-11    0.6                                         77 ▒▒                                  
2015-12    1.9                                        171 ▒▒▒▒▒                               
2016-01   18.5 ██                                     181 ▒▒▒▒▒▒                              
2016-02    6.0 █                                      197 ▒▒▒▒▒▒                              
2016-03    2.1                                        301 ▒▒▒▒▒▒▒▒▒▒                          
2016-05    1.4                                        284 ▒▒▒▒▒▒▒▒▒                           
2016-09    0.3                                         36 ▒                                   
2016-11    3.9                                        174 ▒▒▒▒▒▒                              
2016-12    1.4                                        167 ▒▒▒▒▒                               
2017-01    7.2 █                                      238 ▒▒▒▒▒▒▒▒                            
2017-02    2.4                                        241 ▒▒▒▒▒▒▒▒                            
2017-03   17.2 ██                                     344 ▒▒▒▒▒▒▒▒▒▒▒                         
2017-04   44.5 █████                                  350 ▒▒▒▒▒▒▒▒▒▒▒                         
2017-05   43.0 █████                                  699 ▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒              
2017-06   30.7 ███                                    284 ▒▒▒▒▒▒▒▒▒                           
2017-07    4.8 █                                       53 ▒▒                                  
2017-08   21.4 ██                                      87 ▒▒▒                                 
2017-09   32.4 ████                                   146 ▒▒▒▒▒                               
2017-10   13.2 █                                      291 ▒▒▒▒▒▒▒▒▒                           
2017-11   23.2 ███                                    271 ▒▒▒▒▒▒▒▒▒                           
2017-12   24.1 ███                                    200 ▒▒▒▒▒▒                              
2018-01   27.5 ███                                    218 ▒▒▒▒▒▒▒                             
2018-02   16.4 ██                                     182 ▒▒▒▒▒▒                              
2018-03    5.9 █                                      200 ▒▒▒▒▒▒                              
2018-06    1.1                                        202 ▒▒▒▒▒▒                              
2018-07    4.0                                        148 ▒▒▒▒▒                               
2018-08   19.1 ██                                     165 ▒▒▒▒▒                               
2018-09   29.7 ███                                    141 ▒▒▒▒▒                               
2018-10   15.0 ██                                     201 ▒▒▒▒▒▒                              
2018-11    2.6                                         95 ▒▒▒                                 
2018-12    7.1 █                                      205 ▒▒▒▒▒▒▒                             
2019-01   13.2 █                                      267 ▒▒▒▒▒▒▒▒▒                           
2019-02   29.6 ███                                    246 ▒▒▒▒▒▒▒▒                            
2019-03   56.3 ██████                                 484 ▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒                    
2019-04   20.8 ██                                     455 ▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒                     
2019-05   46.9 █████                                  550 ▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒                  
2019-06   79.3 █████████                              955 ▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒     
2019-07   73.8 ████████                               313 ▒▒▒▒▒▒▒▒▒▒                          
2019-08  120.3 █████████████                          261 ▒▒▒▒▒▒▒▒                            
2019-09  140.9 ███████████████                        191 ▒▒▒▒▒▒                              
2019-10  163.1 ██████████████████                     346 ▒▒▒▒▒▒▒▒▒▒▒                         
2019-11  173.3 ███████████████████                    208 ▒▒▒▒▒▒▒                             
2019-12  262.7 █████████████████████████████          194 ▒▒▒▒▒▒                              
2020-01  124.3 ██████████████                         257 ▒▒▒▒▒▒▒▒                            
2020-02   97.6 ███████████                            264 ▒▒▒▒▒▒▒▒                            
2020-03  127.8 ██████████████                         333 ▒▒▒▒▒▒▒▒▒▒▒                         
2020-04  285.8 ███████████████████████████████        310 ▒▒▒▒▒▒▒▒▒▒                          
2020-05  240.9 ██████████████████████████             235 ▒▒▒▒▒▒▒▒                            
2020-06  308.1 █████████████████████████████████      251 ▒▒▒▒▒▒▒▒                            
2020-07  331.1 ████████████████████████████████████   279 ▒▒▒▒▒▒▒▒▒                           
2020-08  185.8 ████████████████████                   289 ▒▒▒▒▒▒▒▒▒                           
