ym,year,month,hours,plays,unique_artists,unique_tracks,emails
2013-10,2013,10,4.72,70,8,57,55
2015-04,2015,4,0.09,2,1,2,412
2015-07,2015,7,5.15,75,9,49,92
2015-08,2015,8,8.24,130,20,70,36
2015-09,2015,9,9.11,143,4,92,19
2015-10,2015,10,4.84,74,14,65,38
2015-11,2015,11,0.64,15,1,15,77
2015-12,2015,12,1.9,32,11,31,171
2016-01,2016,1,18.48,269,17,179,181
2016-02,2016,2,5.96,83,3,62,197
2016-03,2016,3,2.14,34,9,33,301
2016-05,2016,5,1.42,22,3,21,284
2016-09,2016,9,0.33,7,1,7,36
2016-11,2016,11,3.9,60,41,60,174
2016-12,2016,12,1.38,22,22,22,167
2017-01,2017,1,7.22,135,63,129,238
2017-02,2017,2,2.4,42,36,42,241
2017-03,2017,3,17.22,321,84,235,344
2017-04,2017,4,44.55,756,168,535,350
2017-05,2017,5,43.05,729,80,504,699
2017-06,2017,6,30.67,532,205,441,284
2017-07,2017,7,4.82,78,32,78,53
2017-08,2017,8,21.44,374,133,295,87
2017-09,2017,9,32.36,561,198,454,146
2017-10,2017,10,13.22,205,56,128,291
2017-11,2017,11,23.16,355,147,216,271
2017-12,2017,12,24.07,404,182,348,200
2018-01,2018,1,27.52,450,111,341,218
2018-02,2018,2,16.41,250,81,165,182
2018-03,2018,3,5.94,105,52,88,200
2018-06,2018,6,1.08,20,16,20,202
2018-07,2018,7,3.98,71,27,64,148
2018-08,2018,8,19.14,335,124,297,165
2018-09,2018,9,29.68,509,312,495,141
2018-10,2018,10,14.97,229,59,212,201
2018-11,2018,11,2.64,52,14,50,95
2018-12,2018,12,7.06,104,66,98,205
2019-01,2019,1,13.19,257,83,174,267
2019-02,2019,2,29.59,478,324,444,246
2019-03,2019,3,56.27,892,301,626,484
2019-04,2019,4,20.81,318,131,305,455
2019-05,2019,5,46.89,777,280,580,550
2019-06,2019,6,79.33,1243,451,943,955
2019-07,2019,7,73.85,1025,194,469,313
2019-08,2019,8,120.29,1865,507,1188,261
2019-09,2019,9,140.9,2216,643,1570,191
2019-10,2019,10,163.08,2690,682,1657,346
2019-11,2019,11,173.34,2807,772,1619,208
2019-12,2019,12,262.72,4303,840,2406,194
2020-01,2020,1,124.31,1969,542,1294,257
2020-02,2020,2,97.6,1542,475,1035,264
2020-03,2020,3,127.8,2006,727,1298,333
2020-04,2020,4,285.77,4461,1333,3271,310
2020-05,2020,5,240.88,3767,1099,2504,235
2020-06,2020,6,308.08,4717,1425,2959,251
2020-07,2020,7,331.1,4973,1443,3550,279
2020-08,2020,8,185.83,2718,1038,2060,289
2020-09,2020,9,188.44,2809,898,1985,323
2020-10,2020,10,135.53,2050,780,1554,343
2020-11,2020,11,112.3,1641,605,1146,244
2020-12,2020,12,170.07,2630,916,1878,193
2021-01,2021,1,156.13,2408,831,1648,192
2021-02,2021,2,120.93,1815,685,1346,194
2021-03,2021,3,159.07,2353,889,1752,248
2021-04,2021,4,121.68,1819,568,1295,220
2021-05,2021,5,234.95,3536,940,2280,241
2021-06,2021,6,160.69,2433,966,1870,345
2021-07,2021,7,238.87,3615,875,2731,224
2021-08,2021,8,158.76,2445,645,1959,177
2021-09,2021,9,187.29,2816,745,2211,200
2021-10,2021,10,172.91,2606,573,1904,182
2021-11,2021,11,106.55,1578,551,1127,239
2021-12,2021,12,125.1,1813,602,1335,267
2022-01,2022,1,118.39,1750,604,1437,397
2022-02,2022,2,94.53,1434,432,1116,413
2022-03,2022,3,89.62,1312,461,1054,333
2022-04,2022,4,102.31,1547,517,1295,292
2022-05,2022,5,178.56,2648,733,2092,270
2022-06,2022,6,142.73,2186,619,1881,247
2022-07,2022,7,97.22,1516,425,1276,280
2022-08,2022,8,74.98,1220,348,1053,259
2022-09,2022,9,95.83,1524,419,1315,353
2022-10,2022,10,123.53,1848,454,1574,413
2022-11,2022,11,96.54,1539,318,1303,463
2022-12,2022,12,120.79,1836,398,1546,451
2023-01,2023,1,97.34,1605,586,1410,497
2023-02,2023,2,60.5,961,174,874,642
2023-03,2023,3,72.27,1096,224,876,940
2023-04,2023,4,83.97,1327,344,1066,696
2023-05,2023,5,92.39,1449,448,1116,769
2023-06,2023,6,76.8,1275,392,963,812
2023-07,2023,7,74.22,1131,426,979,706
2023-08,2023,8,102.79,1618,440,1301,765
2023-09,2023,9,78.13,1209,382,980,873
2023-10,2023,10,86.47,1373,322,1064,978
2023-11,2023,11,69.94,1112,236,861,981
2023-12,2023,12,73.81,1087,417,940,885
2024-01,2024,1,62.45,960,227,816,920
2024-02,2024,2,86.21,1331,334,1042,822
2024-03,2024,3,105.58,1784,436,1402,761
2024-04,2024,4,107.72,1824,285,1589,717
2024-05,2024,5,143.21,2363,577,2076,815
2024-06,2024,6,117.16,1832,443,1499,840
2024-07,2024,7,103.86,1703,495,1356,866
2024-08,2024,8,87.86,1390,395,1209,629
2024-09,2024,9,86.28,1317,316,1150,576
2024-10,2024,10,61.45,1033,264,836,872
2024-11,2024,11,36.43,603,210,555,885
2024-12,2024,12,59.81,963,228,814,827
2025-01,2025,1,64.99,1065,297,900,985
2025-02,2025,2,55.11,954,292,863,814
2025-03,2025,3,51.48,780,297,708,834
2025-04,2025,4,40.48,712,231,565,847
2025-05,2025,5,77.85,1169,450,1001,948
2025-06,2025,6,56.34,922,445,813,860
2025-07,2025,7,74.85,1163,455,991,972
