playlist_name,artist_name,album_name,track_name,track_uri,first_played,last_played,plays,hours
year_2026,William Elliott Whitmore,Animals In The Dark,There's hope for you,spotify:track:6FjxpGsVW5yIZgZmjZe0gI,2026-04-04,2026-04-04,27,2.5
year_2026,William Elliott Whitmore,Song of the Blackbird (The Early Years 2014),One Man's Shame,spotify:track:09ISaJAAqVBCnpkrNfpsMQ,2026-04-04,2026-04-04,27,2.0
year_2026,William Elliott Whitmore,Ashes to Dust (The Early Years 2014),Diggin' my Grave,spotify:track:6iUBjLi2Xk57OMPetylGUw,2026-04-04,2026-04-04,27,1.9
year_2026,William Elliott Whitmore,I'm With You,Mk Ultra Blues,spotify:track:4QSBgwEBWUCujXwu6dZxm9,2026-04-04,2026-04-04,27,1.8
year_2026,William Elliott Whitmore,Field Songs,Don't Need It,spotify:track:6NeQt64zijJZbNgFXwvw0I,2026-04-04,2026-04-04,27,1.6
year_2026,William Elliott Whitmore,I'm With You,I'm Here,spotify:track:6hSN4dsSa0pL9GugkAuEWG,2026-04-04,2026-04-04,27,1.4
year_2026,William Elliott Whitmore,Red Dead Redemption Original Soundtrack,Bury Me Not On The Lone Prairie,spotify:track:1JJhBM3oUHmfjJHBgHNBKd,2026-04-04,2026-04-04,27,1.1
year_2026,William Elliott Whitmore,Animals In The Dark,Hell or high water,spotify:track:3edmuk8dvvORcvTEh1GWyq,2026-04-04,2026-04-04,27,1.1
year_2026,Eric Clapton,Rush (Music from the Motion Picture Soundtrack),Tears in Heaven,spotify:track:1kgdslQYmeTR4thk9whoRw,2026-02-06,2026-03-23,11,0.8
year_2026,NEU!,NEU!,Hallogallo,spotify:track:6eUnY12Nd9TVWlbBnFQRCw,2026-01-03,2026-04-15,5,0.8
year_2026,Cousines like Shit,Hair on Coffee,Hair on Coffee,spotify:track:5hKBkozQZ6EykWJawhK5N0,2026-02-07,2026-02-10,12,0.7
year_2026,Eric Clapton,Slowhand 35th Anniversary,Cocaine,spotify:track:2udGjDmpK1dH9VGyw7nrei,2026-02-07,2026-04-15,11,0.7
year_2026,Eric Clapton,Slowhand 35th Anniversary,Lay Down Sally,spotify:track:6io0LJIP9ntX35hTfaxwQG,2026-02-06,2026-03-23,10,0.7
year_2026,R.L. Burnside,Come on In,It's Bad You Know,spotify:track:1AcvqJhm4CXOFJ7INbR5rR,2026-01-16,2026-04-14,9,0.7
year_2026,Arcade Fire,Funeral,Neighborhood #1 (Tunnels),spotify:track:0WZZJ0mDKIkLfL0710ssZt,2026-01-06,2026-04-19,9,0.7
year_2026,AC/DC,Live (Collector's Edition),Jailbreak - Live - 1991,spotify:track:6OvZ0eYTiRbvE4yflbKlnt,2026-01-30,2026-04-15,3,0.7
year_2026,Pink Floyd,The Wall,"Another Brick in the Wall, Pt. 2",spotify:track:4gMgiXfqyzZLMhsksGmbQV,2026-01-03,2026-04-21,9,0.6
year_2026,Thorbjørn Risager & The Black Tornado,Come on In,Come on In,spotify:track:2kkCKRN5iXN1gcZ2qgkwoy,2026-01-08,2026-04-07,9,0.6
year_2026,Eric Clapton,461 Ocean Blvd.,I Shot The Sheriff,spotify:track:0UOxp1BpnD8uPQMKU4wKjz,2026-02-01,2026-03-23,9,0.6
year_2026,Eric Clapton,Unplugged (Deluxe Edition) (Live),Tears in Heaven - Acoustic Live,spotify:track:3UqHlIBI771FNCiLY5MKrp,2026-02-06,2026-03-23,9,0.6
year_2026,Eric Clapton,Journeyman: Deluxe Edition,Higher Power - Bonus Track,spotify:track:60K9R1x9cGRWQlLj08Mhrj,2026-03-23,2026-03-23,7,0.6
year_2026,Eric Clapton,Classic Eric Clapton,Let It Grow,spotify:track:5vRhIG3VXBzHbf7XiNT0vq,2026-03-23,2026-03-23,7,0.6
year_2026,Eric Clapton,461 Ocean Blvd.,Motherless Children,spotify:track:7s6mvEmY68Uv3CfI2hC3aD,2026-03-23,2026-03-23,7,0.6
year_2026,Arcade Fire,Funeral,Wake Up,spotify:track:6Hmj7SrLRbreLVfVS7mV1S,2026-01-06,2026-04-19,7,0.6
year_2026,Creedence Clearwater Revival,Creedence Clearwater Revival,Suzie Q,spotify:track:6Jp0GuFxAYbTdre1uUPgaB,2026-01-02,2026-02-28,4,0.6
year_2026,Eric Clapton,Rockin' Blues,Cocaine,spotify:track:4rhLgeEC89qQkbt8sBbCuZ,2026-02-06,2026-03-23,8,0.5
year_2026,Fleetwood Mac,Rumours,Dreams - 2004 Remaster,spotify:track:0ofHAoxe9vBkTCp2UQIavz,2026-01-03,2026-04-15,8,0.5
year_2026,Eric Clapton,Clapton Chronicles: The Best of Eric Clapton,Change the World,spotify:track:5Ds0VGkTSQ1jf4KzLUpZPb,2026-03-23,2026-03-23,7,0.5
year_2026,Genesis,Genesis,Home by the Sea - 2007 Remaster,spotify:track:14AI8Qt9giIa8uzek1I24O,2026-01-02,2026-04-08,7,0.5
year_2026,Eric Clapton,Backless,If I Don't Be There By Morning,spotify:track:0D5fPpdp0rSR8I1ad1V1V2,2026-03-23,2026-03-23,7,0.5
