playlist_name,artist_name,album_name,track_name,track_uri,first_played,last_played,plays,hours
forgotten_favorites,Rammstein,Herzeleid,Seemann,,,,17,1.3
forgotten_favorites,Rammstein,Zeit,Zeit,,,,6,0.7
forgotten_favorites,Ignite,Call On My Brothers,Man Against Man,,,,10,2.2
forgotten_favorites,Ignite,Call On My Brothers,You,,,,9,0.6
forgotten_favorites,D.O.A.,Last Scream of the Missing Neighbors,We Gotta Get Out Of This Place,,,,11,0.9
forgotten_favorites,D.O.A.,War and Peace,War in the East,,,,8,0.6
forgotten_favorites,Heroes Del Silencio,Senderos De Traición - Edición Especial,Entre dos tierras,,,,14,1.4
forgotten_favorites,Heroes Del Silencio,Senderos De Traición,Entre dos tierras,,,,7,0.7
forgotten_favorites,Faith No More,The Real Thing,Epic,,,,21,1.4
forgotten_favorites,Faith No More,Album of the Year,Ashes to Ashes - 2016 Remaster,,,,10,0.6
forgotten_favorites,Bob Mould,Workbook,Whichever Way The Wind Blows,,,,3,0.3
forgotten_favorites,Bob Mould,Workbook,"Dreaming, I Am",,,,2,0.1
forgotten_favorites,Soundgarden,Superunknown,Black Hole Sun,,,,22,1.9
forgotten_favorites,Soundgarden,Superunknown,Fell On Black Days,,,,10,0.8
forgotten_favorites,Railroad,Where To Go,Wanted Man / On The Run,,,,4,0.6
forgotten_favorites,Railroad,Narration,Narration Of Separation,,,,4,0.3
forgotten_favorites,Run–D.M.C.,Raising Hell,Walk This Way (feat. Aerosmith),,,,19,1.7
forgotten_favorites,Run–D.M.C.,Down With The King,Down With the King (feat. Pete Rock & C.L. Smooth),,,,6,0.5
