playlist_name,artist_name,album_name,track_name,track_uri,first_played,last_played,plays,hours
hidden_gems,The Fall,The Infotainment Scan,Lost in Music,spotify:track:5zCkpvXTFjI1VYwifAEpH6,,,62,3.7
hidden_gems,Fanny,First Time In A Long Time: The Reprise Recordings,Ain't That Peculiar,spotify:track:4RAS6QT974bl5blsapzVGq,,,47,3.0
hidden_gems,Fanny,Fanny,Seven Roads (First Version),spotify:track:5iqd255HTotUSOS5JBIR1L,,,37,2.6
hidden_gems,The Fall,Grotesque (After the Gramme),Totally Wired,spotify:track:2WcPqaYMXCIuGHasY3TWrv,,,43,2.4
hidden_gems,The Alan Parsons Project,Eye In The Sky (Expanded Edition),Eye In The Sky,spotify:track:39qYD4J4BKvZMQgxfXl5bv,,,31,2.3
hidden_gems,Ignite,Call On My Brothers,Man Against Man,spotify:track:3qv7soEIbmar2mMIswLTFi,,,10,2.2
hidden_gems,Georg Danzer,Weisse Pferde,Weisse Pferde,spotify:track:79Vnhi5ZZc0WFnpRtf5NHM,,,29,2.2
hidden_gems,Hubert Kah,Goldene Zeiten,Engel 07,spotify:track:3RxPoJ1HXg1X66WPrZoKO5,,,33,2.2
hidden_gems,Eagles Of Death Metal,Blinded By The Light,"Blinded By The Light - From ""Super Troopers 2"" Soundtrack",spotify:track:3kgtj0csPcN5uqPyEObXu9,,,24,1.8
hidden_gems,The Alan Parsons Project,Eye In The Sky (Alben für die Ewigkeit),Eye In The Sky,spotify:track:38Y9PbxkSOaFMVIjO6Nlvn,,,22,1.7
hidden_gems,Van Halen,Van Halen,Runnin' with the Devil - 2015 Remaster,spotify:track:3KhF2YiNpJvGpfiCW45R6D,,,27,1.6
hidden_gems,Fanny,Fanny,Take a Message to the Captain,spotify:track:3rXovsxErmvdgyvGSMSwC4,,,28,1.6
hidden_gems,Hubert Kah,Goldene Zeiten,Goldene Zeiten,spotify:track:3QztBrhkFOqCT6vnUjcHy7,,,16,1.6
hidden_gems,Georg Danzer,Sonne & Mond - Lieder & Geschichten aus 30 Jahren - Live,Weiße Pferde - Live,spotify:track:3aElfu3uJ227HAmbDQmguJ,,,21,1.5
hidden_gems,The Alan Parsons Project,Ammonia Avenue (Expanded Edition),Don't Answer Me,spotify:track:3IeVrRu0jOlwOkTwD9AykT,,,22,1.5
hidden_gems,Element Of Crime,Immer da wo du bist bin ich nie,Am Ende denk ich immer nur an dich,spotify:track:1o9jSlRBaVO7HXjsbfGUso,,,20,1.4
hidden_gems,Hubert Kah,The Very Best of Hubert Kah,"Wenn der Mond die Sonne berührt - 7"" Version",spotify:track:4xeaji10U41bTveAj899sN,,,24,1.4
hidden_gems,DEVO,Q: Are We Not Men? A: We Are Devo!,Uncontrollable Urge,spotify:track:1RG1Pz45nlYNHka7JioyOT,,,24,1.3
hidden_gems,David Peel and The Lower East Side,The Pope Smokes Dope,The Pope Smokes Dope,spotify:track:7HomHYG0dyYwfc9bRU2s9Q,,,26,1.3
hidden_gems,Blondie,Parallel Lines,One Way Or Another,spotify:track:59CLe8stbcx4XYBWdsfbwK,,,22,1.3
hidden_gems,Joy Division,Unknown Pleasures,Disorder - 2007 Remaster,spotify:track:5fbQCQt91LsVgXusFS0CCD,,,20,1.2
hidden_gems,Blondie,Call Me,Call Me,spotify:track:7HKxTNVlkHsfMLhigmhC0I,,,20,1.2
hidden_gems,Blondie,Best Of Blondie,Heart Of Glass - Special Mix,spotify:track:0a4agFmqHXxcZl1nho1BxM,,,15,1.2
hidden_gems,Slade,Sladest,Cum on Feel the Noize,spotify:track:3dS7g2Cemp3bQEOqW9WbLm,,,18,1.2
hidden_gems,Airbourne,Breakin' Outta Hell,Breakin' Outta Hell,spotify:track:3HFqO1Khvk1pdmhjz3tXsk,,,20,1.2
hidden_gems,Van Halen,1984,Jump - 2015 Remaster,spotify:track:7N3PAbqfTjSEU1edb2tY8j,,,17,1.1
hidden_gems,Van Halen,1984,Panama - 2015 Remaster,spotify:track:05RgAMGypEvqhNs5hPCbMS,,,21,1.1
hidden_gems,Billy F Gibbons,Hardware,My Lucky Card,spotify:track:4Ri5DZQb98Ho6SbRuDvB4b,,,27,1.1
hidden_gems,Billy F Gibbons,Hardware,Vagabond Man,spotify:track:36TcKvJkdDDC1UUeSyiysZ,,,16,1.1
hidden_gems,Joy Division,Closer,A Means to an End - 2007 Remaster,spotify:track:5WKJ9cG2HTSDAay4Ig8728,,,20,1.1
hidden_gems,David Peel and The Lower East Side,And The Rest Is History: The Elektra Recordings,Up Against the Wall,spotify:track:6t5Kk1gcaFoq7uHJpruvD0,,,37,1.1
hidden_gems,Element Of Crime,Essentials,Delmenhorst,spotify:track:0EDnvGDdaiwEr8oOT7f8ba,,,18,1.1
hidden_gems,Element Of Crime,Mittelpunkt der Welt,Delmenhorst,spotify:track:4l6y3dhGfu2GRLqzmUa6Ma,,,17,1.1
hidden_gems,Georg Danzer,Überblicke,Atlantis,spotify:track:1OTGpBiD1j4NsJBCdVMCoY,,,15,1.1
hidden_gems,Billy F Gibbons,The Big Bad Blues,Missin’ Yo’ Kissin’,spotify:track:2YbHdXlXvAgLbZgb7kROJr,,,18,1.0
hidden_gems,David Peel and The Lower East Side,And The Rest Is History: The Elektra Recordings,Oink Oink,spotify:track:0obgPGHqND3Y7pwDW1vyv6,,,17,1.0
hidden_gems,The Fall,Fall Heads Roll,Blindness,spotify:track:32VPND9HN4aQXhGxqPPQQx,,,9,1.0
hidden_gems,The Stooges,Fun House,Down on the Street - 2005 Remaster,spotify:track:3NpnrlBcEwRIgBs8tUrhyb,,,16,1.0
hidden_gems,The Stooges,The Stooges,No Fun,spotify:track:6JCkmtc6yDQW1w8jh3iFqS,,,11,1.0
hidden_gems,DEVO,Q: Are We Not Men? A: We Are Devo!,Mongoloid,spotify:track:3bGG7jaMbcx8JDl3gLUvo7,,,14,0.9
hidden_gems,Eagles Of Death Metal,Peace Love Death Metal,So Easy,spotify:track:7Ak0XlIG6ZnmVAO0hy0BNr,,,13,0.9
hidden_gems,The Stooges,The Stooges,I Wanna Be Your Dog,spotify:track:672N8DGGTOLCOgWe0koX5g,,,18,0.9
hidden_gems,Erasure,The Innocents,A Little Respect,spotify:track:2RVQIq7bLi4Eu6xHPyQ46t,,,14,0.8
hidden_gems,Peter Maffay,Sonne in der Nacht,Sonne in der Nacht - Digitally Remastered,spotify:track:0J2O3IO7Fmcc2mfHNiwLYv,,,8,0.8
hidden_gems,Airbourne,Runnin' Wild,Runnin' Wild,spotify:track:71fSn6OIF7HnCbgCzOBqpj,,,13,0.8
hidden_gems,Airbourne,Runnin' Wild,"Too Much, Too Young, Too Fast",spotify:track:6fhpnwCBLVamyD7gkZhXjt,,,12,0.8
hidden_gems,Joy Division,Unknown Pleasures,Day of the Lords - 2007 Remaster,spotify:track:5MtnbY0fACKCYyMAsSPmSf,,,11,0.7
hidden_gems,X,Essential New Wave,The Have Nots,spotify:track:566ukJEPfnQTRjSfnERtPn,,,10,0.7
hidden_gems,X,Under the Big Black Sun,The Hungry Wolf,spotify:track:4VMgy7bNU8ny1u53LqKhSW,,,12,0.7
hidden_gems,X,Los Angeles,"Your Phone's off the Hook, But You're Not",spotify:track:1FGgRtDDmpThMJhMV9RfWl,,,17,0.7
