playlist_name,artist_name,album_name,track_name,track_uri,first_played,last_played,plays,hours
krautrock_drift,NEU!,Neu!,Hallogallo,spotify:track:1GkZZHT9uJjdzrrksrpczR,,,62,10.0
krautrock_drift,NEU!,NEU!,Hallogallo,spotify:track:6eUnY12Nd9TVWlbBnFQRCw,,,64,9.8
krautrock_drift,Westernhagen,Live,Nimm mich mit (Live) - 2000 Remaster,spotify:track:66OXARu4wSBf3rc3MBFlyG,,,45,5.8
krautrock_drift,BAP,Für Usszeschnigge,Verdamp lang her,spotify:track:12Gf7Ffl7pxj7mQF1ehRBy,,,64,5.8
krautrock_drift,Ton Steine Scherben,Keine Macht für Niemand,Der Traum ist aus,spotify:track:568gbsCi6Byp9VnQZmE6OV,,,27,4.3
krautrock_drift,Ton Steine Scherben,Keine Macht für Niemand,Wir müssen hier raus!,spotify:track:1eF6blE1syu1FX9MhGPH1e,,,49,4.2
krautrock_drift,Birth Control,Hoodoo Man,Gamma Ray,spotify:track:0iVUzpjSPczQoNPuwtEOkL,,,25,3.9
krautrock_drift,Abwärts,Amok Koma,Computerstaat,spotify:track:7gWrVmUNu8nS5nil3D60QJ,,,73,3.8
krautrock_drift,Die Toten Hosen,Opium für's Volk,Nichts bleibt für die Ewigkeit,spotify:track:1FH76dXFnLRuYNv9MzxXht,,,51,3.4
krautrock_drift,Falco,Einzelhaft,Einzelhaft,spotify:track:6wPFeEtICkgLWz9FdEnXpe,,,48,3.1
krautrock_drift,BAP,Vun Drinne Noh Drusse,Kristallnaach,spotify:track:2aZsp1KAJLMOaW2socza14,,,36,3.0
krautrock_drift,Kraftwerk,The Man-Machine,The Robots - 2009 Remaster,spotify:track:5eqZWYQ5tbIehx00NeKXz7,,,30,2.9
krautrock_drift,Westernhagen,Ja Ja,Wir werden gleich sein,spotify:track:0k8L3Dq1beiJg7KVORyrUr,,,44,2.7
krautrock_drift,Fehlfarben,Monarchie und Alltag,Ein Jahr (Es geht voran),spotify:track:6mMUoEgOl1yuGMJ6dfHzh6,,,44,2.0
krautrock_drift,Fehlfarben,Monarchie und Alltag,Paul ist tot,spotify:track:5LsnOuchRKABvkQLtb9lnT,,,16,2.0
krautrock_drift,Tocotronic,K.O.O.K.,Let There Be Rock,spotify:track:7vQBCXOsvuvL3U5Bgh3xiC,,,30,1.9
krautrock_drift,Kraftwerk,Autobahn,Autobahn - 2009 Remaster,spotify:track:44HjyYf1lYuO7oXRusudHN,,,9,1.9
krautrock_drift,Eisbrecher,Sturmfahrt,Sturmfahrt,spotify:track:7paewQ5u6pXt09tRJdpwZr,,,32,1.8
krautrock_drift,Die Toten Hosen,"""Ballast der Republik"" plus Jubiläums-Album ""Die Geister, die wir riefen""",Tage wie diese,spotify:track:2lYsCjTvXIHOqT8xSbK2jq,,,26,1.7
krautrock_drift,Falco,Einzelhaft,Auf der Flucht,spotify:track:0b8MA5WxRBfcXIBcz3ayUm,,,25,1.7
krautrock_drift,Die Sterne,Posen,Unter Geiern II,spotify:track:47THabRf33UIbudQPnC5MQ,,,22,1.7
krautrock_drift,Tocotronic,Kapitulation,Kapitulation,spotify:track:1Al8Zg3hEmgrUuqqwjKrjI,,,23,1.6
krautrock_drift,Wolf Maahn,Break out of Babylon,Tanzen gegen den Wahnsinn,spotify:track:1zoaWz4Fg4NLfiL5VTfDR1,,,18,1.5
krautrock_drift,Die Sterne,Die Sterne,Du musst gar nix,spotify:track:1Sh1nXBhUa0wVsfVuxnHdV,,,12,1.3
krautrock_drift,Rammstein,Herzeleid,Seemann,spotify:track:2FJQyteNdmYjgE9sUMri1O,,,17,1.3
krautrock_drift,Udo Lindenberg,MTV Unplugged 2 - Live vom Atlantik,Durch die schweren Zeiten (I'll Carry You) [feat. Angus & Julia Stone] - MTV Unplugged 2,spotify:track:6WOMp1DKZo4KEXAxGqLxRN,,,16,1.2
krautrock_drift,Eisbrecher,Sturmfahrt,Was Ist Hier Los?,spotify:track:5jDLMyRG0hq0U1O54ELZhE,,,20,1.2
krautrock_drift,Udo Lindenberg,Stärker als die Zeit,Durch die schweren Zeiten,spotify:track:379wqj7mJ2IIeIQvLtNpDk,,,17,1.1
krautrock_drift,Alphaville,Stark Naked and Absolutely Live,Forever Young,spotify:track:4ws6ZvEjihoJ9i4pd4wPnI,,,12,1.0
krautrock_drift,DAF,Alles ist gut,Der Mussolini,spotify:track:6xQMY1QQ5p7rwIpe3SVqLe,,,16,1.0
krautrock_drift,Ideal,Der Ernst des Lebens,Eiszeit,spotify:track:4WOGvfip17yNBmLpPSZWBV,,,20,1.0
