playlist_name,artist_name,album_name,track_name,track_uri,first_played,last_played,plays,hours
life_phases,Bruce Springsteen,Born In The U.S.A.,Born in the U.S.A.,spotify:track:0dOg1ySSI7NkpAe89Zo0b9,2013-10-05,2013-10-05,2,0.2
life_phases,Tom Petty and the Heartbreakers,Hypnotic Eye,American Dream Plan B,spotify:track:5TCq5VBFgZx6Pg3qeGqUE4,2015-07-20,2015-12-14,33,1.7
life_phases,Tom Petty and the Heartbreakers,Hypnotic Eye,American Dream Plan B,spotify:track:5TCq5VBFgZx6Pg3qeGqUE4,2016-01-15,2016-05-23,8,0.4
life_phases,AC/DC,Back In Black,Back In Black,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,2017-02-20,2017-12-12,16,1.0
life_phases,Midnight Oil,Chiko Locallo (B-sides & Rarities),Kingdom of Flaunt - Instrumental,spotify:track:2bCWrfKD5HhBAMrEjbJX1L,2018-02-05,2018-02-28,6,0.5
life_phases,Flamin' Groovies,Groovies Greatest Grooves,Slow Death,spotify:track:44JvhqeLaMatXiA2VAtw25,2019-08-06,2019-12-28,71,5.0
life_phases,NEU!,Neu!,Hallogallo,spotify:track:1GkZZHT9uJjdzrrksrpczR,2020-01-09,2020-12-25,41,6.8
life_phases,Midnight Oil,Rising Seas,Rising Seas,spotify:track:0a3OsuSd5x4kpQAMY3NcJB,2021-11-02,2021-12-23,60,5.8
life_phases,Rory Gallagher,Tattoo,A Million Miles Away,spotify:track:30CnvMgamyV8oWQEwyCqsq,2022-01-04,2022-12-28,32,3.3
life_phases,AC/DC,Live (Collector's Edition),Jailbreak - Live - 1991,spotify:track:6OvZ0eYTiRbvE4yflbKlnt,2023-03-10,2023-12-31,14,3.4
life_phases,Aerosmith,1971: The Road Starts Hear,Movin' Out,spotify:track:1GgfTOi1yAfJVm4WFT8BPI,2024-01-16,2024-11-26,22,2.1
life_phases,Birth Control,Hoodoo Man,Gamma Ray,spotify:track:0iVUzpjSPczQoNPuwtEOkL,2025-07-22,2025-12-22,19,3.0
life_phases,William Elliott Whitmore,Animals In The Dark,There's hope for you,spotify:track:6FjxpGsVW5yIZgZmjZe0gI,2026-04-04,2026-04-04,27,2.5
