playlist_name,artist_name,album_name,track_name,track_uri,first_played,last_played,plays,hours
recurring,Fehlfarben,Über...Menschen,Schmerz Wut Genuss Mut,,,,8,0.3
recurring,Creedence Clearwater Revival,Creedence Clearwater Revival,I Put A Spell On You,,,,8,0.2
recurring,Bruce Springsteen,Wrecking Ball,Death To My Hometown,,,,52,2.9
recurring,Bruce Springsteen,Wrecking Ball,Land of Hope and Dreams,,,,22,2.1
recurring,Ace Frehley,Kiss: Ace Frehley,New York Groove,,,,12,0.5
recurring,Bruce Springsteen,Born In The U.S.A.,I'm On Fire,,,,89,3.7
recurring,Bruce Springsteen,Born In The U.S.A.,Dancing In the Dark,,,,56,3.1
recurring,Bruce Springsteen,Wrecking Ball,Wrecking Ball,,,,55,5.1
recurring,Bruce Springsteen,Wrecking Ball,Shackled And Drawn,,,,54,3.0
recurring,Bruce Springsteen,Wrecking Ball,We Take Care of Our Own,,,,49,2.9
recurring,R.E.M.,Automatic For The People,Drive,,,,25,1.7
recurring,Bruce Springsteen,Born In The U.S.A.,Glory Days,,,,12,0.8
recurring,Arcade Fire,The Suburbs,We Used to Wait,,,,18,1.5
recurring,Bruce Springsteen,Born In The U.S.A.,Born in the U.S.A.,,,,16,0.9
recurring,Roxy Music,Roxy Music,Virginia Plain,,,,15,0.7
recurring,The Peep Tempel,Modern Professional,The Incarceration of Lester Moore,,,,17,0.5
recurring,Blue Öyster Cult,Fire of Unknown Origin,Burnin' for You,,,,11,0.8
recurring,Grinderman,Grinderman 2,Palaces of Montezuma,,,,12,0.7
recurring,Arcade Fire,The Suburbs,Ready to Start,,,,7,0.4
recurring,John Mellencamp,The Lonesome Jubilee,Cherry Bomb,,,,10,0.6
